GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Per capita income in the past 12 months (in 2015 Inflation-adjusted dollars),Margin of Error; Per capita income in the past 12 months (in 2015 Inflation-adjusted dollars)
1500000US170310208012,170310208012,"Block Group 2, Census Tract 208.01, Cook County, Illinois",37308,7520
1500000US170310208013,170310208013,"Block Group 3, Census Tract 208.01, Cook County, Illinois",22314,5365
1500000US170310208014,170310208014,"Block Group 4, Census Tract 208.01, Cook County, Illinois",20678,6121
1500000US170310208021,170310208021,"Block Group 1, Census Tract 208.02, Cook County, Illinois",27623,14512
1500000US170310208022,170310208022,"Block Group 2, Census Tract 208.02, Cook County, Illinois",13302,5747
1500000US170310208023,170310208023,"Block Group 3, Census Tract 208.02, Cook County, Illinois",21072,6285
1500000US170310208024,170310208024,"Block Group 4, Census Tract 208.02, Cook County, Illinois",10609,3333
1500000US170310209011,170310209011,"Block Group 1, Census Tract 209.01, Cook County, Illinois",16412,3527
1500000US170310209012,170310209012,"Block Group 2, Census Tract 209.01, Cook County, Illinois",20377,6445
1500000US170310209013,170310209013,"Block Group 3, Census Tract 209.01, Cook County, Illinois",19684,5324
1500000US170310209021,170310209021,"Block Group 1, Census Tract 209.02, Cook County, Illinois",16189,4042
1500000US170310209022,170310209022,"Block Group 2, Census Tract 209.02, Cook County, Illinois",17416,3107
1500000US170310301011,170310301011,"Block Group 1, Census Tract 301.01, Cook County, Illinois",23037,5841
1500000US170310301012,170310301012,"Block Group 2, Census Tract 301.01, Cook County, Illinois",35522,12188
1500000US170310301013,170310301013,"Block Group 3, Census Tract 301.01, Cook County, Illinois",17458,4641
1500000US170310301014,170310301014,"Block Group 4, Census Tract 301.01, Cook County, Illinois",52646,8931
1500000US170310301021,170310301021,"Block Group 1, Census Tract 301.02, Cook County, Illinois",53970,16212
1500000US170310301022,170310301022,"Block Group 2, Census Tract 301.02, Cook County, Illinois",27355,4778
1500000US170310301023,170310301023,"Block Group 3, Census Tract 301.02, Cook County, Illinois",28782,8006
1500000US170310301031,170310301031,"Block Group 1, Census Tract 301.03, Cook County, Illinois",16237,3901
1500000US170310301032,170310301032,"Block Group 2, Census Tract 301.03, Cook County, Illinois",29600,7657
1500000US170310301041,170310301041,"Block Group 1, Census Tract 301.04, Cook County, Illinois",22581,8631
1500000US170310301042,170310301042,"Block Group 2, Census Tract 301.04, Cook County, Illinois",17013,4744
1500000US170310302001,170310302001,"Block Group 1, Census Tract 302, Cook County, Illinois",44384,10163
1500000US170310302002,170310302002,"Block Group 2, Census Tract 302, Cook County, Illinois",54826,11332
1500000US170310302003,170310302003,"Block Group 3, Census Tract 302, Cook County, Illinois",67557,22995
1500000US170310302004,170310302004,"Block Group 4, Census Tract 302, Cook County, Illinois",30123,10466
1500000US170310303001,170310303001,"Block Group 1, Census Tract 303, Cook County, Illinois",24361,6713
1500000US170310303002,170310303002,"Block Group 2, Census Tract 303, Cook County, Illinois",25691,4397
1500000US170310304001,170310304001,"Block Group 1, Census Tract 304, Cook County, Illinois",25490,4251
1500000US170310304002,170310304002,"Block Group 2, Census Tract 304, Cook County, Illinois",36234,9687
1500000US170310305001,170310305001,"Block Group 1, Census Tract 305, Cook County, Illinois",41498,15173
1500000US170310305002,170310305002,"Block Group 2, Census Tract 305, Cook County, Illinois",37235,5533
1500000US170310305003,170310305003,"Block Group 3, Census Tract 305, Cook County, Illinois",48673,13791
1500000US170310305004,170310305004,"Block Group 4, Census Tract 305, Cook County, Illinois",44376,9338
1500000US170310306011,170310306011,"Block Group 1, Census Tract 306.01, Cook County, Illinois",31198,13358
1500000US170310306012,170310306012,"Block Group 2, Census Tract 306.01, Cook County, Illinois",24291,8136
1500000US170310306013,170310306013,"Block Group 3, Census Tract 306.01, Cook County, Illinois",30017,4815
1500000US170310306031,170310306031,"Block Group 1, Census Tract 306.03, Cook County, Illinois",21753,8219
1500000US170310306032,170310306032,"Block Group 2, Census Tract 306.03, Cook County, Illinois",24927,4685
1500000US170310306041,170310306041,"Block Group 1, Census Tract 306.04, Cook County, Illinois",40218,10135
1500000US170310306042,170310306042,"Block Group 2, Census Tract 306.04, Cook County, Illinois",41124,9605
1500000US170310306043,170310306043,"Block Group 3, Census Tract 306.04, Cook County, Illinois",16128,3600
1500000US170310307011,170310307011,"Block Group 1, Census Tract 307.01, Cook County, Illinois",25329,5058
1500000US170310307021,170310307021,"Block Group 1, Census Tract 307.02, Cook County, Illinois",55952,20396
1500000US170310307022,170310307022,"Block Group 2, Census Tract 307.02, Cook County, Illinois",44174,8034
1500000US170310307031,170310307031,"Block Group 1, Census Tract 307.03, Cook County, Illinois",56642,17813
1500000US170310307032,170310307032,"Block Group 2, Census Tract 307.03, Cook County, Illinois",18919,7325
1500000US170310307033,170310307033,"Block Group 3, Census Tract 307.03, Cook County, Illinois",35270,6215
1500000US170310307061,170310307061,"Block Group 1, Census Tract 307.06, Cook County, Illinois",47628,7068
1500000US170310307062,170310307062,"Block Group 2, Census Tract 307.06, Cook County, Illinois",28263,6957
1500000US170310308001,170310308001,"Block Group 1, Census Tract 308, Cook County, Illinois",31948,7490
1500000US170310308002,170310308002,"Block Group 2, Census Tract 308, Cook County, Illinois",70325,36158
1500000US170310308003,170310308003,"Block Group 3, Census Tract 308, Cook County, Illinois",59473,22337
1500000US170310308004,170310308004,"Block Group 4, Census Tract 308, Cook County, Illinois",49460,8511
1500000US170310309001,170310309001,"Block Group 1, Census Tract 309, Cook County, Illinois",37682,13893
1500000US170310309002,170310309002,"Block Group 2, Census Tract 309, Cook County, Illinois",45285,7540
1500000US170310309003,170310309003,"Block Group 3, Census Tract 309, Cook County, Illinois",42005,7331
1500000US170310309004,170310309004,"Block Group 4, Census Tract 309, Cook County, Illinois",51308,13548
1500000US170310310001,170310310001,"Block Group 1, Census Tract 310, Cook County, Illinois",50784,11538
1500000US170310310002,170310310002,"Block Group 2, Census Tract 310, Cook County, Illinois",38308,5322
1500000US170310310003,170310310003,"Block Group 3, Census Tract 310, Cook County, Illinois",47173,8564
1500000US170310311001,170310311001,"Block Group 1, Census Tract 311, Cook County, Illinois",48310,8479
1500000US170310311002,170310311002,"Block Group 2, Census Tract 311, Cook County, Illinois",28975,8952
1500000US170310311003,170310311003,"Block Group 3, Census Tract 311, Cook County, Illinois",44517,10093
1500000US170310312001,170310312001,"Block Group 1, Census Tract 312, Cook County, Illinois",49182,13523
1500000US170310312002,170310312002,"Block Group 2, Census Tract 312, Cook County, Illinois",17595,7275
1500000US170310312003,170310312003,"Block Group 3, Census Tract 312, Cook County, Illinois",14240,4145
1500000US170310312004,170310312004,"Block Group 4, Census Tract 312, Cook County, Illinois",43869,15473
1500000US170310313001,170310313001,"Block Group 1, Census Tract 313, Cook County, Illinois",28296,10560
1500000US170310313002,170310313002,"Block Group 2, Census Tract 313, Cook County, Illinois",43790,11779
1500000US170310313003,170310313003,"Block Group 3, Census Tract 313, Cook County, Illinois",16381,11050
1500000US170310313004,170310313004,"Block Group 4, Census Tract 313, Cook County, Illinois",24098,6526
1500000US170310313005,170310313005,"Block Group 5, Census Tract 313, Cook County, Illinois",41310,7908
1500000US170310314001,170310314001,"Block Group 1, Census Tract 314, Cook County, Illinois",64105,10959
1500000US170310314002,170310314002,"Block Group 2, Census Tract 314, Cook County, Illinois",59336,9108
1500000US170310314003,170310314003,"Block Group 3, Census Tract 314, Cook County, Illinois",53680,10698
1500000US170310314004,170310314004,"Block Group 4, Census Tract 314, Cook County, Illinois",7673,5679
1500000US170310314005,170310314005,"Block Group 5, Census Tract 314, Cook County, Illinois",49061,8151
1500000US170310314006,170310314006,"Block Group 6, Census Tract 314, Cook County, Illinois",45077,12273
1500000US170310315011,170310315011,"Block Group 1, Census Tract 315.01, Cook County, Illinois",20684,6259
1500000US170310315012,170310315012,"Block Group 2, Census Tract 315.01, Cook County, Illinois",27758,6763
1500000US170310315013,170310315013,"Block Group 3, Census Tract 315.01, Cook County, Illinois",18405,7539
1500000US170310315021,170310315021,"Block Group 1, Census Tract 315.02, Cook County, Illinois",24665,5571
1500000US170310315022,170310315022,"Block Group 2, Census Tract 315.02, Cook County, Illinois",27822,11701
1500000US170310315023,170310315023,"Block Group 3, Census Tract 315.02, Cook County, Illinois",15096,3268
1500000US170310317001,170310317001,"Block Group 1, Census Tract 317, Cook County, Illinois",28152,6581
1500000US170310317002,170310317002,"Block Group 2, Census Tract 317, Cook County, Illinois",33498,9683
1500000US170310317003,170310317003,"Block Group 3, Census Tract 317, Cook County, Illinois",41542,16050
1500000US170310317004,170310317004,"Block Group 4, Census Tract 317, Cook County, Illinois",48366,11428
1500000US170310318001,170310318001,"Block Group 1, Census Tract 318, Cook County, Illinois",41947,4503
1500000US170310319001,170310319001,"Block Group 1, Census Tract 319, Cook County, Illinois",55601,10057
1500000US170310319002,170310319002,"Block Group 2, Census Tract 319, Cook County, Illinois",44686,8480
1500000US170310321001,170310321001,"Block Group 1, Census Tract 321, Cook County, Illinois",71909,18586
1500000US170310321002,170310321002,"Block Group 2, Census Tract 321, Cook County, Illinois",30360,5729
1500000US170310321003,170310321003,"Block Group 3, Census Tract 321, Cook County, Illinois",45114,14237
1500000US170310321004,170310321004,"Block Group 4, Census Tract 321, Cook County, Illinois",26221,9933
1500000US170310321005,170310321005,"Block Group 5, Census Tract 321, Cook County, Illinois",54135,31592
1500000US170310401001,170310401001,"Block Group 1, Census Tract 401, Cook County, Illinois",42250,7807
1500000US170310401002,170310401002,"Block Group 2, Census Tract 401, Cook County, Illinois",34207,7029
1500000US170310401003,170310401003,"Block Group 3, Census Tract 401, Cook County, Illinois",27803,8553
1500000US170310402011,170310402011,"Block Group 1, Census Tract 402.01, Cook County, Illinois",42726,10634
1500000US170310402012,170310402012,"Block Group 2, Census Tract 402.01, Cook County, Illinois",27561,8775
1500000US170310402013,170310402013,"Block Group 3, Census Tract 402.01, Cook County, Illinois",36605,8440
1500000US170310402014,170310402014,"Block Group 4, Census Tract 402.01, Cook County, Illinois",29887,6536
1500000US170310402021,170310402021,"Block Group 1, Census Tract 402.02, Cook County, Illinois",28484,12502
1500000US170310402022,170310402022,"Block Group 2, Census Tract 402.02, Cook County, Illinois",21763,6366
1500000US170310402023,170310402023,"Block Group 3, Census Tract 402.02, Cook County, Illinois",20063,7460
1500000US170310402024,170310402024,"Block Group 4, Census Tract 402.02, Cook County, Illinois",23434,5129
1500000US170310403001,170310403001,"Block Group 1, Census Tract 403, Cook County, Illinois",49226,15156
1500000US170310403002,170310403002,"Block Group 2, Census Tract 403, Cook County, Illinois",31319,8276
1500000US170310403003,170310403003,"Block Group 3, Census Tract 403, Cook County, Illinois",40172,8462
