GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Total,Margin of Error; Total
1400000US17031010100,17031010100,"Census Tract 101, Cook County, Illinois",4106,468
1400000US17031010201,17031010201,"Census Tract 102.01, Cook County, Illinois",7229,942
1400000US17031010202,17031010202,"Census Tract 102.02, Cook County, Illinois",2304,271
1400000US17031010300,17031010300,"Census Tract 103, Cook County, Illinois",6077,694
1400000US17031010400,17031010400,"Census Tract 104, Cook County, Illinois",5011,544
1400000US17031010501,17031010501,"Census Tract 105.01, Cook County, Illinois",3837,445
1400000US17031010502,17031010502,"Census Tract 105.02, Cook County, Illinois",3413,651
1400000US17031010503,17031010503,"Census Tract 105.03, Cook County, Illinois",2080,323
1400000US17031010600,17031010600,"Census Tract 106, Cook County, Illinois",6558,595
1400000US17031010701,17031010701,"Census Tract 107.01, Cook County, Illinois",3999,407
1400000US17031010702,17031010702,"Census Tract 107.02, Cook County, Illinois",5163,712
1400000US17031020100,17031020100,"Census Tract 201, Cook County, Illinois",3899,433
1400000US17031020200,17031020200,"Census Tract 202, Cook County, Illinois",6634,667
1400000US17031020301,17031020301,"Census Tract 203.01, Cook County, Illinois",5142,440
1400000US17031020302,17031020302,"Census Tract 203.02, Cook County, Illinois",4886,426
1400000US17031020400,17031020400,"Census Tract 204, Cook County, Illinois",4518,303
1400000US17031020500,17031020500,"Census Tract 205, Cook County, Illinois",5794,717
1400000US17031020601,17031020601,"Census Tract 206.01, Cook County, Illinois",6330,665
1400000US17031020602,17031020602,"Census Tract 206.02, Cook County, Illinois",4113,389
1400000US17031020701,17031020701,"Census Tract 207.01, Cook County, Illinois",1635,184
1400000US17031020702,17031020702,"Census Tract 207.02, Cook County, Illinois",7833,954
1400000US17031020801,17031020801,"Census Tract 208.01, Cook County, Illinois",4760,519
1400000US17031020802,17031020802,"Census Tract 208.02, Cook County, Illinois",7508,734
1400000US17031020901,17031020901,"Census Tract 209.01, Cook County, Illinois",5004,699
1400000US17031020902,17031020902,"Census Tract 209.02, Cook County, Illinois",4155,528
1400000US17031030101,17031030101,"Census Tract 301.01, Cook County, Illinois",3613,407
1400000US17031030102,17031030102,"Census Tract 301.02, Cook County, Illinois",2880,348
1400000US17031030103,17031030103,"Census Tract 301.03, Cook County, Illinois",2347,313
1400000US17031030104,17031030104,"Census Tract 301.04, Cook County, Illinois",3487,417
1400000US17031030200,17031030200,"Census Tract 302, Cook County, Illinois",4978,575
1400000US17031030300,17031030300,"Census Tract 303, Cook County, Illinois",3231,374
1400000US17031030400,17031030400,"Census Tract 304, Cook County, Illinois",2632,241
1400000US17031030500,17031030500,"Census Tract 305, Cook County, Illinois",6160,574
1400000US17031030601,17031030601,"Census Tract 306.01, Cook County, Illinois",3788,522
1400000US17031030603,17031030603,"Census Tract 306.03, Cook County, Illinois",1991,338
1400000US17031030604,17031030604,"Census Tract 306.04, Cook County, Illinois",2910,236
1400000US17031030701,17031030701,"Census Tract 307.01, Cook County, Illinois",1721,258
1400000US17031030702,17031030702,"Census Tract 307.02, Cook County, Illinois",1457,183
1400000US17031030703,17031030703,"Census Tract 307.03, Cook County, Illinois",2736,255
1400000US17031030706,17031030706,"Census Tract 307.06, Cook County, Illinois",3578,326
